345;16;
334`;16;
338;16;
248 А;17;
519;17;
255 А;17;
255 Б;17;
520;18;
600 Б;18;
600 В;18;
600 Г;18;
334;20;
521 А;24;
300 Б;24;
300 А;26;
517;32;
518;34;
240;37;
248;39;
256;39;
234;40;
255;40;
250;41;
257;42;
522;64;
513;74;
607;97;
605;110;
521;182;
